# Logfile created on 2014-05-25 20:05:42 -0500 by logger.rb/31641
I, [2014-05-25T20:06:46.643866 #12861]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:06:47.893396 #12861]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T20:07:16.504750 #12925]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:07:17.887737 #12925]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T20:13:37.757748 #13094]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:13:38.998007 #13094]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T20:13:52.825538 #13156]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:13:53.998050 #13156]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T20:18:10.670894 #13413]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:18:12.501884 #13413]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T20:41:58.176351 #13643]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:42:33.846904 #13643]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T20:42:34.072603 #13643]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3sxa is not assigned to a portgroup
W, [2014-05-25T20:42:34.073030 #13643]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ipap3s1 is not assigned to a portgroup
W, [2014-05-25T20:42:34.153181 #13643]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3s3qx is not assigned to a portgroup
I, [2014-05-25T20:49:33.878906 #13889]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:50:09.894254 #13889]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T20:50:10.020550 #13889]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3sxa is not assigned to a portgroup
W, [2014-05-25T20:50:10.020967 #13889]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ipap3s1 is not assigned to a portgroup
W, [2014-05-25T20:50:10.084783 #13889]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - tcsv3s88p is not assigned to a portgroup
I, [2014-05-25T20:51:14.770920 #14359]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:51:49.253112 #14359]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T20:51:49.379572 #14359]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3sxa is not assigned to a portgroup
W, [2014-05-25T20:51:49.380005 #14359]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ipap3s1 is not assigned to a portgroup
I, [2014-05-25T20:53:38.946915 #14507]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T20:54:13.518154 #14507]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T20:54:13.644222 #14507]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3sxa is not assigned to a portgroup
W, [2014-05-25T20:54:13.644623 #14507]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ipap3s1 is not assigned to a portgroup
I, [2014-05-25T21:11:08.126012 #15357]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcenter_name based on filterSpec
I, [2014-05-25T21:11:42.908489 #15357]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:11:43.036876 #15357]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3sxa is not assigned to a portgroup
W, [2014-05-25T21:11:43.037354 #15357]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ipap3s1 is not assigned to a portgroup
I, [2014-05-25T21:15:56.114494 #15568]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa0t1 based on filterSpec
I, [2014-05-25T21:16:20.057680 #15568]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:16:20.413018 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - tufin13 is not assigned to a portgroup
